layer,input_shape,output_shape,,,,,PyTorch Layer Path,MobileNet-V3-Small Stage,,,,
"features.9.block.3.0, (Conv2d)","(1, 288, 7, 7)","(1, 96, 7, 7)",,,Inverted Residue .9,,,,,,,
"features.9.block.3.1, (BatchNorm2d)","(1, 96, 7, 7)","(1, 96, 7, 7)",,,Inverted Residue .9,,,,,,,
"features.9, (InvertedResidual)","(1, 48, 14, 14)","(1, 96, 7, 7)",,,Inverted Residue .9,,,,,,,
"features.10.block.0.0, (Conv2d)","(1, 96, 7, 7)","(1, 576, 7, 7)",,,Inverted Residue .10,,,,,,,
"features.10.block.0.1, (BatchNorm2d)","(1, 576, 7, 7)","(1, 576, 7, 7)",,,Inverted Residue .10,,,,,,,
"features.10.block.0.2, (Hardswish)","(1, 576, 7, 7)","(1, 576, 7, 7)",,,Inverted Residue .10,,,,,,,
"features.10.block.1.0, (Conv2d)","(1, 576, 7, 7)","(1, 576, 7, 7)",,,Inverted Residue .10,,,,,,,
"features.10.block.1.1, (BatchNorm2d)","(1, 576, 7, 7)","(1, 576, 7, 7)",,,Inverted Residue .10,,,,,,,
"features.10.block.1.2, (Hardswish)","(1, 576, 7, 7)","(1, 576, 7, 7)",,,Inverted Residue .10,,,,,,,
"features.10.block.2.avgpool, (AdaptiveAvgPool2d)","(1, 576, 7, 7)","(1, 576, 1, 1)",,,Inverted Residue .10,,,,,,,
"features.10.block.2.fc1, (Conv2d)","(1, 576, 1, 1)","(1, 144, 1, 1)",,,Inverted Residue .10,,,,,,,
"features.10.block.2.activation, (ReLU)","(1, 144, 1, 1)","(1, 144, 1, 1)",,,Inverted Residue .10,,,,,,,
"features.10.block.2.fc2, (Conv2d)","(1, 144, 1, 1)","(1, 576, 1, 1)",,,Inverted Residue .10,,,,,,,
"features.10.block.2.scale_activation, (Hardsigmoid)","(1, 576, 1, 1)","(1, 576, 1, 1)",,,Inverted Residue .10,,,,,,,
"features.10.block.2, (SqueezeExcitation)","(1, 576, 7, 7)","(1, 576, 7, 7)",,,Inverted Residue .10,,,,,,,
"features.10.block.3.0, (Conv2d)","(1, 576, 7, 7)","(1, 96, 7, 7)",,,Inverted Residue .10,,,,,,,
"features.10.block.3.1, (BatchNorm2d)","(1, 96, 7, 7)","(1, 96, 7, 7)",,,Inverted Residue .10,,,,,,,
"features.10, (InvertedResidual)","(1, 96, 7, 7)","(1, 96, 7, 7)",,,Inverted Residue .10,,,,,,,
"features.11.block.0.0, (Conv2d)","(1, 96, 7, 7)","(1, 576, 7, 7)",,,Inverted Residue .11,,,,,,,
"features.11.block.0.1, (BatchNorm2d)","(1, 576, 7, 7)","(1, 576, 7, 7)",,,Inverted Residue .11,,,,,,,
"features.11.block.0.2, (Hardswish)","(1, 576, 7, 7)","(1, 576, 7, 7)",,,Inverted Residue .11,,,,,,,
"features.11.block.1.0, (Conv2d)","(1, 576, 7, 7)","(1, 576, 7, 7)",,,Inverted Residue .11,,,,,,,
"features.11.block.1.1, (BatchNorm2d)","(1, 576, 7, 7)","(1, 576, 7, 7)",,,Inverted Residue .11,,,,,,,
"features.11.block.1.2, (Hardswish)","(1, 576, 7, 7)","(1, 576, 7, 7)",,,Inverted Residue .11,,,,,,,
"features.11.block.2.avgpool, (AdaptiveAvgPool2d)","(1, 576, 7, 7)","(1, 576, 1, 1)",,,Inverted Residue .11,,,,,,,
"features.11.block.2.fc1, (Conv2d)","(1, 576, 1, 1)","(1, 144, 1, 1)",,,Inverted Residue .11,,,,,,,
"features.11.block.2.activation, (ReLU)","(1, 144, 1, 1)","(1, 144, 1, 1)",,,Inverted Residue .11,,,,,,,
"features.11.block.2.fc2, (Conv2d)","(1, 144, 1, 1)","(1, 576, 1, 1)",,,Inverted Residue .11,,,,,,,
"features.11.block.2.scale_activation, (Hardsigmoid)","(1, 576, 1, 1)","(1, 576, 1, 1)",,,Inverted Residue .11,,,,,,,
"features.11.block.2, (SqueezeExcitation)","(1, 576, 7, 7)","(1, 576, 7, 7)",,,Inverted Residue .11,,,,,,,
"features.11.block.3.0, (Conv2d)","(1, 576, 7, 7)","(1, 96, 7, 7)",,,Inverted Residue .11,,,,,,,
"features.11.block.3.1, (BatchNorm2d)","(1, 96, 7, 7)","(1, 96, 7, 7)",,,Inverted Residue .11,,,,,,,
"features.11, (InvertedResidual)","(1, 96, 7, 7)","(1, 96, 7, 7)",,,Inverted Residue .11,,,,,,,
"features.12.0, (Conv2d)","(1, 96, 7, 7)","(1, 576, 7, 7)",,,Inverted Residue .12,,,,,,,
"features.12.1, (BatchNorm2d)","(1, 576, 7, 7)","(1, 576, 7, 7)",,,Inverted Residue .12,,,,,,,
"features.12.2, (Hardswish)","(1, 576, 7, 7)","(1, 576, 7, 7)",,,Inverted Residue .12,,,,,,,
"avgpool, (AdaptiveAvgPool2d)","(1, 576, 7, 7)","(1, 576, 1, 1)",,,FC,,,,,,,
"classifier.0, (Linear)","(1, 576)","(1, 1024)",,,Hardswish,,,,,,,
"classifier.1, (Hardswish)","(1, 1024)","(1, 1024)",,,Dropout,,,,,,,
"classifier.2, (Dropout)","(1, 1024)","(1, 1024)",,,Classifier FC ,,,,,,,
"classifier.3, (Linear)","(1, 1024)","(1, 3)",,,FC,,,,,,,
