layer,input_shape,output_shape,,,,,,,
"Mixed_6a.branch3x3dbl_1, (BasicConv2d)","(1, 288, 35, 35)","(1, 64, 35, 35)",,(,),27,38,BasicConv2d,
"Mixed_6a.branch3x3dbl_2.conv, (Conv2d)","(1, 64, 35, 35)","(1, 96, 35, 35)",,(,),32,38,Conv2d,
"Mixed_6a.branch3x3dbl_2.bn, (BatchNorm2d)","(1, 96, 35, 35)","(1, 96, 35, 35)",,(,),30,41,BatchNorm2d,
"Mixed_6a.branch3x3dbl_2, (BasicConv2d)","(1, 64, 35, 35)","(1, 96, 35, 35)",,(,),27,38,BasicConv2d,
"Mixed_6a.branch3x3dbl_3.conv, (Conv2d)","(1, 96, 35, 35)","(1, 96, 17, 17)",,(,),32,38,Conv2d,
"Mixed_6a.branch3x3dbl_3.bn, (BatchNorm2d)","(1, 96, 17, 17)","(1, 96, 17, 17)",,(,),30,41,BatchNorm2d,
"Mixed_6a.branch3x3dbl_3, (BasicConv2d)","(1, 96, 35, 35)","(1, 96, 17, 17)",,(,),27,38,BasicConv2d,
"Mixed_6a, (InceptionB)","(1, 288, 35, 35)","(1, 768, 17, 17)",,(,),12,22,InceptionB,
"Mixed_6b.branch1x1.conv, (Conv2d)","(1, 768, 17, 17)","(1, 192, 17, 17)",,(,),27,33,Conv2d,
"Mixed_6b.branch1x1.bn, (BatchNorm2d)","(1, 192, 17, 17)","(1, 192, 17, 17)",,(,),25,36,BatchNorm2d,
"Mixed_6b.branch1x1, (BasicConv2d)","(1, 768, 17, 17)","(1, 192, 17, 17)",,(,),22,33,BasicConv2d,
"Mixed_6b.branch7x7_1.conv, (Conv2d)","(1, 768, 17, 17)","(1, 128, 17, 17)",,(,),29,35,Conv2d,
"Mixed_6b.branch7x7_1.bn, (BatchNorm2d)","(1, 128, 17, 17)","(1, 128, 17, 17)",,(,),27,38,BatchNorm2d,
"Mixed_6b.branch7x7_1, (BasicConv2d)","(1, 768, 17, 17)","(1, 128, 17, 17)",,(,),24,35,BasicConv2d,
"Mixed_6b.branch7x7_2.conv, (Conv2d)","(1, 128, 17, 17)","(1, 128, 17, 17)",,(,),29,35,Conv2d,
"Mixed_6b.branch7x7_2.bn, (BatchNorm2d)","(1, 128, 17, 17)","(1, 128, 17, 17)",,(,),27,38,BatchNorm2d,
"Mixed_6b.branch7x7_2, (BasicConv2d)","(1, 128, 17, 17)","(1, 128, 17, 17)",,(,),24,35,BasicConv2d,
"Mixed_6b.branch7x7_3.conv, (Conv2d)","(1, 128, 17, 17)","(1, 192, 17, 17)",,(,),29,35,Conv2d,
"Mixed_6b.branch7x7_3.bn, (BatchNorm2d)","(1, 192, 17, 17)","(1, 192, 17, 17)",,(,),27,38,BatchNorm2d,
"Mixed_6b.branch7x7_3, (BasicConv2d)","(1, 128, 17, 17)","(1, 192, 17, 17)",,(,),24,35,BasicConv2d,
"Mixed_6b.branch7x7dbl_1.conv, (Conv2d)","(1, 768, 17, 17)","(1, 128, 17, 17)",,(,),32,38,Conv2d,
"Mixed_6b.branch7x7dbl_1.bn, (BatchNorm2d)","(1, 128, 17, 17)","(1, 128, 17, 17)",,(,),30,41,BatchNorm2d,
"Mixed_6b.branch7x7dbl_1, (BasicConv2d)","(1, 768, 17, 17)","(1, 128, 17, 17)",,(,),27,38,BasicConv2d,
"Mixed_6b.branch7x7dbl_2.conv, (Conv2d)","(1, 128, 17, 17)","(1, 128, 17, 17)",,(,),32,38,Conv2d,
"Mixed_6b.branch7x7dbl_2.bn, (BatchNorm2d)","(1, 128, 17, 17)","(1, 128, 17, 17)",,(,),30,41,BatchNorm2d,
"Mixed_6b.branch7x7dbl_2, (BasicConv2d)","(1, 128, 17, 17)","(1, 128, 17, 17)",,(,),27,38,BasicConv2d,
"Mixed_6b.branch7x7dbl_3.conv, (Conv2d)","(1, 128, 17, 17)","(1, 128, 17, 17)",,(,),32,38,Conv2d,
"Mixed_6b.branch7x7dbl_3.bn, (BatchNorm2d)","(1, 128, 17, 17)","(1, 128, 17, 17)",,(,),30,41,BatchNorm2d,
"Mixed_6b.branch7x7dbl_3, (BasicConv2d)","(1, 128, 17, 17)","(1, 128, 17, 17)",,(,),27,38,BasicConv2d,
