layer,input_shape,output_shape
"layer3.1.conv3, (Conv2d)","(1, 256, 14, 14)","(1, 1024, 14, 14)"
"layer3.1.bn3, (BatchNorm2d)","(1, 1024, 14, 14)","(1, 1024, 14, 14)"
"layer3.1.relu, (ReLU)","(1, 1024, 14, 14)","(1, 1024, 14, 14)"
"layer3.1, (Bottleneck)","(1, 1024, 14, 14)","(1, 1024, 14, 14)"
"layer3.2.conv1, (Conv2d)","(1, 1024, 14, 14)","(1, 256, 14, 14)"
"layer3.2.bn1, (BatchNorm2d)","(1, 256, 14, 14)","(1, 256, 14, 14)"
"layer3.2.relu, (ReLU)","(1, 256, 14, 14)","(1, 256, 14, 14)"
"layer3.2.conv2, (Conv2d)","(1, 256, 14, 14)","(1, 256, 14, 14)"
"layer3.2.bn2, (BatchNorm2d)","(1, 256, 14, 14)","(1, 256, 14, 14)"
"layer3.2.relu, (ReLU)","(1, 256, 14, 14)","(1, 256, 14, 14)"
"layer3.2.conv3, (Conv2d)","(1, 256, 14, 14)","(1, 1024, 14, 14)"
"layer3.2.bn3, (BatchNorm2d)","(1, 1024, 14, 14)","(1, 1024, 14, 14)"
"layer3.2.relu, (ReLU)","(1, 1024, 14, 14)","(1, 1024, 14, 14)"
"layer3.2, (Bottleneck)","(1, 1024, 14, 14)","(1, 1024, 14, 14)"
"layer3.3.conv1, (Conv2d)","(1, 1024, 14, 14)","(1, 256, 14, 14)"
"layer3.3.bn1, (BatchNorm2d)","(1, 256, 14, 14)","(1, 256, 14, 14)"
"layer3.3.relu, (ReLU)","(1, 256, 14, 14)","(1, 256, 14, 14)"
"layer3.3.conv2, (Conv2d)","(1, 256, 14, 14)","(1, 256, 14, 14)"
"layer3.3.bn2, (BatchNorm2d)","(1, 256, 14, 14)","(1, 256, 14, 14)"
"layer3.3.relu, (ReLU)","(1, 256, 14, 14)","(1, 256, 14, 14)"
"layer3.3.conv3, (Conv2d)","(1, 256, 14, 14)","(1, 1024, 14, 14)"
"layer3.3.bn3, (BatchNorm2d)","(1, 1024, 14, 14)","(1, 1024, 14, 14)"
"layer3.3.relu, (ReLU)","(1, 1024, 14, 14)","(1, 1024, 14, 14)"
"layer3.3, (Bottleneck)","(1, 1024, 14, 14)","(1, 1024, 14, 14)"
"layer3.4.conv1, (Conv2d)","(1, 1024, 14, 14)","(1, 256, 14, 14)"
"layer3.4.bn1, (BatchNorm2d)","(1, 256, 14, 14)","(1, 256, 14, 14)"
"layer3.4.relu, (ReLU)","(1, 256, 14, 14)","(1, 256, 14, 14)"
"layer3.4.conv2, (Conv2d)","(1, 256, 14, 14)","(1, 256, 14, 14)"
"layer3.4.bn2, (BatchNorm2d)","(1, 256, 14, 14)","(1, 256, 14, 14)"
"layer3.4.relu, (ReLU)","(1, 256, 14, 14)","(1, 256, 14, 14)"
"layer3.4.conv3, (Conv2d)","(1, 256, 14, 14)","(1, 1024, 14, 14)"
"layer3.4.bn3, (BatchNorm2d)","(1, 1024, 14, 14)","(1, 1024, 14, 14)"
"layer3.4.relu, (ReLU)","(1, 1024, 14, 14)","(1, 1024, 14, 14)"
"layer3.4, (Bottleneck)","(1, 1024, 14, 14)","(1, 1024, 14, 14)"
"layer3.5.conv1, (Conv2d)","(1, 1024, 14, 14)","(1, 256, 14, 14)"
"layer3.5.bn1, (BatchNorm2d)","(1, 256, 14, 14)","(1, 256, 14, 14)"
"layer3.5.relu, (ReLU)","(1, 256, 14, 14)","(1, 256, 14, 14)"
"layer3.5.conv2, (Conv2d)","(1, 256, 14, 14)","(1, 256, 14, 14)"
"layer3.5.bn2, (BatchNorm2d)","(1, 256, 14, 14)","(1, 256, 14, 14)"
"layer3.5.relu, (ReLU)","(1, 256, 14, 14)","(1, 256, 14, 14)"
"layer3.5.conv3, (Conv2d)","(1, 256, 14, 14)","(1, 1024, 14, 14)"
"layer3.5.bn3, (BatchNorm2d)","(1, 1024, 14, 14)","(1, 1024, 14, 14)"
"layer3.5.relu, (ReLU)","(1, 1024, 14, 14)","(1, 1024, 14, 14)"
"layer3.5, (Bottleneck)","(1, 1024, 14, 14)","(1, 1024, 14, 14)"
"layer4.0.conv1, (Conv2d)","(1, 1024, 14, 14)","(1, 512, 14, 14)"
"layer4.0.bn1, (BatchNorm2d)","(1, 512, 14, 14)","(1, 512, 14, 14)"
"layer4.0.relu, (ReLU)","(1, 512, 14, 14)","(1, 512, 14, 14)"
"layer4.0.conv2, (Conv2d)","(1, 512, 14, 14)","(1, 512, 7, 7)"
"layer4.0.bn2, (BatchNorm2d)","(1, 512, 7, 7)","(1, 512, 7, 7)"
"layer4.0.relu, (ReLU)","(1, 512, 7, 7)","(1, 512, 7, 7)"
"layer4.0.conv3, (Conv2d)","(1, 512, 7, 7)","(1, 2048, 7, 7)"
"layer4.0.bn3, (BatchNorm2d)","(1, 2048, 7, 7)","(1, 2048, 7, 7)"
"layer4.0.downsample.0, (Conv2d)","(1, 1024, 14, 14)","(1, 2048, 7, 7)"
"layer4.0.downsample.1, (BatchNorm2d)","(1, 2048, 7, 7)","(1, 2048, 7, 7)"
"layer4.0.relu, (ReLU)","(1, 2048, 7, 7)","(1, 2048, 7, 7)"
"layer4.0, (Bottleneck)","(1, 1024, 14, 14)","(1, 2048, 7, 7)"
"layer4.1.conv1, (Conv2d)","(1, 2048, 7, 7)","(1, 512, 7, 7)"
"layer4.1.bn1, (BatchNorm2d)","(1, 512, 7, 7)","(1, 512, 7, 7)"
"layer4.1.relu, (ReLU)","(1, 512, 7, 7)","(1, 512, 7, 7)"
"layer4.1.conv2, (Conv2d)","(1, 512, 7, 7)","(1, 512, 7, 7)"
"layer4.1.bn2, (BatchNorm2d)","(1, 512, 7, 7)","(1, 512, 7, 7)"
"layer4.1.relu, (ReLU)","(1, 512, 7, 7)","(1, 512, 7, 7)"
"layer4.1.conv3, (Conv2d)","(1, 512, 7, 7)","(1, 2048, 7, 7)"
"layer4.1.bn3, (BatchNorm2d)","(1, 2048, 7, 7)","(1, 2048, 7, 7)"
"layer4.1.relu, (ReLU)","(1, 2048, 7, 7)","(1, 2048, 7, 7)"
"layer4.1, (Bottleneck)","(1, 2048, 7, 7)","(1, 2048, 7, 7)"
"layer4.2.conv1, (Conv2d)","(1, 2048, 7, 7)","(1, 512, 7, 7)"
"layer4.2.bn1, (BatchNorm2d)","(1, 512, 7, 7)","(1, 512, 7, 7)"
"layer4.2.relu, (ReLU)","(1, 512, 7, 7)","(1, 512, 7, 7)"
"layer4.2.conv2, (Conv2d)","(1, 512, 7, 7)","(1, 512, 7, 7)"
"layer4.2.bn2, (BatchNorm2d)","(1, 512, 7, 7)","(1, 512, 7, 7)"
"layer4.2.relu, (ReLU)","(1, 512, 7, 7)","(1, 512, 7, 7)"
"layer4.2.conv3, (Conv2d)","(1, 512, 7, 7)","(1, 2048, 7, 7)"
"layer4.2.bn3, (BatchNorm2d)","(1, 2048, 7, 7)","(1, 2048, 7, 7)"
"layer4.2.relu, (ReLU)","(1, 2048, 7, 7)","(1, 2048, 7, 7)"
"layer4.2, (Bottleneck)","(1, 2048, 7, 7)","(1, 2048, 7, 7)"
"avgpool, (AdaptiveAvgPool2d)","(1, 2048, 7, 7)","(1, 2048, 1, 1)"
"fc, (Linear)","(1, 2048)","(1, 3)"
