layer,input_shape,output_shape
"features.15.block.2.scale_activation, (Hardsigmoid)","(1, 960, 1, 1)","(1, 960, 1, 1)"
"features.15.block.2, (SqueezeExcitation)","(1, 960, 7, 7)","(1, 960, 7, 7)"
"features.15.block.3.0, (Conv2d)","(1, 960, 7, 7)","(1, 160, 7, 7)"
"features.15.block.3.1, (BatchNorm2d)","(1, 160, 7, 7)","(1, 160, 7, 7)"
"features.15, (InvertedResidual)","(1, 160, 7, 7)","(1, 160, 7, 7)"
"features.16.0, (Conv2d)","(1, 160, 7, 7)","(1, 960, 7, 7)"
"features.16.1, (BatchNorm2d)","(1, 960, 7, 7)","(1, 960, 7, 7)"
"features.16.2, (Hardswish)","(1, 960, 7, 7)","(1, 960, 7, 7)"
"avgpool, (AdaptiveAvgPool2d)","(1, 960, 7, 7)","(1, 960, 1, 1)"
"classifier.0, (Linear)","(1, 960)","(1, 1280)"
"classifier.1, (Hardswish)","(1, 1280)","(1, 1280)"
"classifier.2, (Dropout)","(1, 1280)","(1, 1280)"
"classifier.3, (Linear)","(1, 1280)","(1, 3)"
