Full filepath,Full Class Index,sensitivityscore_before_features.7,sensitivityscore_before_features.19,sensitivityscore_before_features.20,sensitivityscore_before_features.21,sensitivityscore_before_features.22,sensitivityscore_before_features.23,sensitivityscore_before_features.24,sensitivityscore_before_features.25,sensitivityscore_before_features.26,sensitivityscore_before_features.27,sensitivityscore_before_features.28,sensitivityscore_After_features.28_0.5,sensitivityscore_After_features.28_0.6,sensitivityscore_After_features.28_0.7,sensitivityscore_After_features.28_0.8
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0037_796120.jpg,0,-0.0027996232,0.0032100333,0.0011582368,-0.004053732,-0.005633217,-0.018002622,0.004416971,-0.010419438,-0.011467382,-0.0007208229,0.02439263,0.056710176,0.057009183,0.060758322,0.056554995
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0060_796076.jpg,0,-0.0022020454,0.0050210645,0.00935738,0.0044551464,0.009404024,0.023200678,0.04818684,0.040366337,0.025519669,0.041569594,0.039029475,0.06376079,0.05696857,0.059260994,0.06440967
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0049_796063.jpg,0,0.0038044278,-0.0007043214,0.007763743,0.0032083278,0.0018323632,0.00052039116,0.013714841,-0.010648684,-0.015905896,0.008905891,0.019914191,0.039910413,0.033618476,0.039593033,0.04695352
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0026_796095.jpg,0,-0.0024553284,0.0072271675,0.0060429806,0.00032962812,0.002443354,0.015607882,0.006446899,0.020009302,-0.010150433,0.0005944176,0.012293899,0.05831448,0.034253247,0.047532443,0.05330883
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0032_796115.jpg,0,0.0032586537,-0.014395227,-0.009487412,-0.003591121,0.0030512523,0.003325854,0.004730411,0.006717937,-0.003982197,0.018144827,0.024136966,0.05868037,0.045840275,0.04975124,0.05742442
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0053_796109.jpg,0,-0.0032214304,0.009284044,0.009842558,-0.0016900218,0.0007404373,-0.016853595,0.015259675,-0.0013654842,0.028302923,0.028492957,0.0409816,0.063764624,0.05518978,0.05272934,0.054151624
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0035_796140.jpg,0,0.0004899409,0.0019523501,0.0012447153,-0.0038751164,-0.0054556606,-0.0033196793,0.009844952,0.01434857,0.0036282917,0.013496397,0.02212726,0.06173999,0.046225406,0.051909335,0.044635586
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0061_796082.jpg,0,8.339799e-05,-0.013180429,-0.013086079,-0.0036541384,0.001179192,-0.0043108487,0.007960106,0.0089117475,0.006381671,0.020457499,0.039217062,0.058639694,0.051668044,0.049515717,0.04948841
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0023_796059.jpg,0,0.00014620824,0.0021753472,0.0010545542,0.0034068795,0.0035837071,-0.007017827,-0.015369167,-0.014053488,-0.0123225525,0.017026462,0.0036771498,0.06048447,0.045674764,0.05203492,0.048807472
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0033_796086.jpg,0,0.006030701,0.006464338,0.0040174774,0.0020338553,0.007811218,0.017225422,0.041199416,0.013887026,0.007815705,0.026889762,0.029143568,0.05317165,0.05494056,0.04385016,0.050690748
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0042_796071.jpg,0,0.0024963073,0.0048146355,-0.001658961,-0.0012330228,0.00041851238,-0.0032781963,0.028265737,0.010962189,0.0110040065,0.019689467,0.046400465,0.05453637,0.05825053,0.05502711,0.050513078
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0036_796127.jpg,0,0.0019980702,-0.002662377,-0.0044860668,-0.00082984613,0.0035900695,-0.014263465,-0.0079812175,-0.001067267,-0.0075341123,0.005098452,0.03514826,0.054897226,0.05915632,0.06433329,0.056144677
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0078_796126.jpg,0,-0.00414395,0.0015577439,-0.009499507,0.0074592046,0.008928616,0.024553755,0.008027489,0.009125065,0.009806121,0.038426593,0.024307499,0.057111498,0.051283885,0.0535909,0.053841323
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0003_796136.jpg,0,0.002090423,-0.0051271534,-0.010116665,0.001855944,-0.0026625083,-0.017335666,0.014882795,0.005862022,0.029024893,0.037222616,0.03471768,0.059500575,0.053974092,0.06122951,0.055564363
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0063_796141.jpg,0,-0.00033571495,-0.0025259578,0.0013072421,-0.00053236017,0.0042377166,-0.00090121245,0.01033611,0.0018636035,0.033140272,0.03370654,0.036553968,0.057109512,0.061483726,0.05796178,0.058890548
/mnt/sdd/caltech_training/three_classes/train/002.Laysan_Albatross/Laysan_Albatross_0091_602.jpg,1,0.00026576917,0.007602296,-0.0016769925,0.0026312065,0.001902511,0.005603956,-0.00085903285,-0.015025871,0.007874466,0.017487971,0.014159414,0.0364255,0.027343016,0.013238764,0.010126445
/mnt/sdd/caltech_training/three_classes/train/002.Laysan_Albatross/Laysan_Albatross_0017_614.jpg,1,-0.00026423496,0.0077023497,0.018006394,0.006624375,0.006586192,0.023052426,0.028429598,0.024979323,0.042178415,0.036927797,0.027885828,0.032792497,0.02133975,0.01661564,0.017464746
/mnt/sdd/caltech_training/three_classes/train/002.Laysan_Albatross/Laysan_Albatross_0059_488.jpg,1,-0.0011977267,-0.0030320608,-0.0065106107,-0.0021603953,-0.000727303,-0.010547139,-0.0233588,-0.015585009,0.025211606,0.0060445527,0.015606124,0.033887383,0.019223692,0.011441156,0.020925349
/mnt/sdd/caltech_training/three_classes/train/002.Laysan_Albatross/Laysan_Albatross_0085_564.jpg,1,-0.0034905663,-0.008089262,0.0038664625,0.0009277272,-0.001913618,-0.010126387,-0.0077340268,-4.642119e-05,0.012820387,0.013667591,0.014857349,0.038841892,0.023563702,0.02178717,0.01605688
/mnt/sdd/caltech_training/three_classes/train/002.Laysan_Albatross/Laysan_Albatross_0076_671.jpg,1,-0.011238338,0.004473342,-0.0032737392,0.0016342392,0.0030296927,0.0095351,0.022520918,0.015985558,0.04827179,0.03154975,0.021114733,0.028350418,0.013879329,0.014711006,0.017291833
/mnt/sdd/caltech_training/three_classes/train/002.Laysan_Albatross/Laysan_Albatross_0040_472.jpg,1,-0.0010250056,-0.0069490587,-0.004616249,0.0051959762,0.0029812097,-0.004939005,-0.020013712,0.008174584,0.015233714,-0.003775765,0.0119661335,0.0368067,0.01961705,0.011481733,0.014796774
/mnt/sdd/caltech_training/three_classes/train/002.Laysan_Albatross/Laysan_Albatross_0083_756.jpg,1,-0.00021531587,0.005940487,0.008024336,0.0065346113,0.006279851,0.013988232,0.016995039,0.019686962,0.036664475,0.019162282,0.025480662,0.03633077,0.024671229,0.015653972,0.01508992
/mnt/sdd/caltech_training/three_classes/train/002.Laysan_Albatross/Laysan_Albatross_0080_821.jpg,1,-0.0077594453,0.015064688,0.016595233,0.0064633833,0.003732013,0.012057409,-0.0013301927,0.007049785,0.041109458,0.035061,0.03210506,0.028872252,0.013799153,0.010999606,0.015318234
/mnt/sdd/caltech_training/three_classes/train/002.Laysan_Albatross/Laysan_Albatross_0065_809.jpg,1,0.0008321908,0.018219054,0.011597238,0.009771797,0.009020846,0.01600249,0.03923314,0.01972159,0.024569936,0.03680428,0.023748618,0.027187413,0.01254462,0.0077330517,0.008125871
/mnt/sdd/caltech_training/three_classes/train/002.Laysan_Albatross/Laysan_Albatross_0042_801.jpg,1,-0.00033287494,0.012942125,0.0044972533,0.00981954,0.01438964,0.02220877,0.015683621,0.021484982,0.06154588,0.04368475,0.025846306,0.042264614,0.036806464,0.027893567,0.024211105
/mnt/sdd/caltech_training/three_classes/train/002.Laysan_Albatross/Laysan_Albatross_0033_658.jpg,1,-0.0031284555,-0.0036221028,0.0012935437,-0.0019355173,-0.0021477598,-0.003341957,0.017769907,0.026240546,0.04370261,0.038471445,0.044641096,0.026033351,0.026181698,0.00896097,0.020095147
/mnt/sdd/caltech_training/three_classes/train/002.Laysan_Albatross/Laysan_Albatross_0012_696.jpg,1,-0.0015391393,0.009894283,-0.0014380985,0.001957266,0.0013334596,0.008094717,0.016299082,0.018714488,0.035328794,0.024909938,0.029940821,0.027954642,0.020273382,0.015960805,0.01895471
/mnt/sdd/caltech_training/three_classes/train/002.Laysan_Albatross/Laysan_Albatross_0028_643.jpg,1,-0.0015692352,-0.008742514,-0.014751121,-0.0005648597,-0.003382646,-0.0071974793,0.024502624,0.016235195,0.04635433,0.038633153,0.02446156,0.026903892,0.01513969,0.0091766855,0.015140063
/mnt/sdd/caltech_training/three_classes/train/002.Laysan_Albatross/Laysan_Albatross_0099_869.jpg,1,-0.0028963825,-0.017223602,-0.00933969,-0.011919561,-0.0077163847,-0.03057268,-0.025630232,-0.026491893,0.0154235745,0.016188666,0.014597274,0.03535951,0.026472442,0.02005868,0.031161584
