Full filepath,Full Class Index,features.0,features.2,features.4,features.5,features.7,features.9,features.10,features.12,features.14,features.16,features.17,features.19,features.21,features.23,features.24,features.26,features.28,features.30
/home/multiclass_classification/deer/train/13add66d67.jpg,0,0.005240553,0.004328892,0.000812139,0.005064621,0.009597426,0.012846084,0.009613525,0.005436612,0.004009753,0.00843952,0.018735135,0.0145979,0.00986408,0.036070764,0.011578711,0.039125867,0.052101966,0.112070166
/home/multiclass_classification/deer/train/7235a6e11f.jpg,0,-0.003157132,0.004129995,0.002631247,-0.003783759,0.010918588,0.0330202,0.012016803,0.011270032,0.00154892,0.008679089,0.005339959,0.004624452,-0.002239458,-0.005160364,0.004888791,-0.012421447,0.023545709,0.060829915
/home/multiclass_classification/deer/train/7ff1beaea6.jpg,0,-0.006975152,-0.001568832,-0.002178035,-0.004552137,-0.000332321,-0.003591795,-0.002447965,0.000768454,-0.004539028,-0.006400281,0.001582527,0.012834515,0.009056316,0.011590282,0.029220175,0.027470538,0.044309057,0.07872115
/home/multiclass_classification/deer/train/8c794fdd7d.jpg,0,0.003342232,0.001905609,0.007908008,0.004983836,0.004663442,0.012348646,0.00652922,0.004530259,0.005991689,0.026866674,0.017878527,0.014008787,0.009849937,0.019395992,0.05701184,0.030378565,0.03472592,0.07521857
/home/multiclass_classification/deer/train/2c58a3e341.jpg,0,0.002420326,0.004706694,0.012553422,0.007166835,0.016475245,0.037414175,0.019657258,0.013036443,0.003883479,0.004625361,0.00825154,0.015078038,0.010450019,0.032948636,0.035440452,0.017012447,0.046359897,0.09635647
/home/multiclass_classification/deer/train/image_9.jpg,0,0.001293654,0.001992421,0.003491887,0.007003482,0.006759166,0.012187537,0.015606094,0.009406848,0.013131393,0.010290671,0.020672021,0.022670306,0.013090475,0.04642335,0.029496029,0.030235875,0.03271095,0.07087253
/home/multiclass_classification/deer/train/dbadd4db68.jpg,0,-0.001725429,-0.004081046,-0.009507412,-0.003763195,-0.001144715,-0.000304308,-0.012053231,-0.002199564,0.009738375,0.014509006,0.011532773,0.010298145,0.008533764,0.026937194,0.04610856,0.015932776,0.0351488,0.07459885
/home/multiclass_classification/deer/train/6c52922344.jpg,0,-0.003364325,-0.001203625,0.000154855,0.003980345,-0.000857057,-0.002257782,0.00295955,0.008612909,0.003496352,0.000378525,-0.007048069,0.002814804,0.006353851,0.00862946,0.017837988,0.027447388,0.02728979,0.047960397
/home/multiclass_classification/deer/train/4e7b82812e.jpg,0,0.002423782,4.22E-05,0.000829466,0.000158928,-0.00214508,-0.008762669,-0.00465404,-0.003023253,-0.009051789,-0.016297147,-0.013940631,-0.008733747,-0.007351188,-0.006960149,0.00251231,0.029658131,0.026718322,0.05187994
/home/multiclass_classification/deer/train/592768b323.jpg,0,0.00732149,0.001340975,0.003817564,0.004323029,0.005033427,0.01308492,0.014103883,0.004333613,0.006536653,0.019382808,0.016949221,0.011684485,0.008193906,0.017997995,0.031092567,0.015500443,0.03977116,0.0913558
