2026-02-13 01:29:32,785 - INFO - ================================================================================
2026-02-13 01:29:32,786 - INFO - Perturbation method and options c1_bg
2026-02-13 01:29:32,786 - INFO - ================================================================================
2026-02-13 01:29:32,786 - INFO - Starting perturbation process at 20260213_012932
2026-02-13 01:29:32,786 - INFO - Model Name: resnet50
2026-02-13 01:29:32,786 - INFO - Model Path: /mnt/sdd/basics/balanced_training/resnet50/resnet50.pth
2026-02-13 01:29:32,786 - INFO - Base Image Directory: /home/balanced_dataset/train
2026-02-13 01:29:32,786 - INFO - Batch Size: 32
2026-02-13 01:29:32,789 - INFO - Collected 2112 images for analysis.
2026-02-13 01:30:01,965 - INFO - Batch processed 2112                           images into 66 batches with batch size 32.
2026-02-13 01:30:01,965 - INFO - Input image shapes: Number of batches: 66,                           Batch size: 32,                           Image tensor shape: torch.Size([32, 3, 224, 224])
2026-02-13 01:30:02,028 - INFO - Model loaded from /mnt/sdd/basics/balanced_training/resnet50/resnet50.pth and set to evaluation mode.
2026-02-13 01:30:02,028 - INFO - Custom layers to perturb set: ['maxpool', 'layer1.0.conv1', 'layer2.0.conv2', 'layer3.5.conv2', 'layer4.2.conv3']
2026-02-13 01:30:17,687 - INFO - Applying perturbation for layer: maxpool, original output shape: torch.Size([32, 64, 56, 56]), perturbed activation shape: torch.Size([2112, 64, 56, 56])
2026-02-13 01:30:17,711 - INFO - Applying perturbation for layer: maxpool, original output shape: torch.Size([32, 64, 56, 56]), perturbed activation shape: torch.Size([2112, 64, 56, 56])
2026-02-13 01:30:17,734 - INFO - Applying perturbation for layer: maxpool, original output shape: torch.Size([32, 64, 56, 56]), perturbed activation shape: torch.Size([2112, 64, 56, 56])
2026-02-13 01:30:17,758 - INFO - Applying perturbation for layer: maxpool, original output shape: torch.Size([32, 64, 56, 56]), perturbed activation shape: torch.Size([2112, 64, 56, 56])
2026-02-13 01:30:17,782 - INFO - Applying perturbation for layer: maxpool, original output shape: torch.Size([32, 64, 56, 56]), perturbed activation shape: torch.Size([2112, 64, 56, 56])
2026-02-13 01:30:17,806 - INFO - Applying perturbation for layer: maxpool, original output shape: torch.Size([32, 64, 56, 56]), perturbed activation shape: torch.Size([2112, 64, 56, 56])
2026-02-13 01:30:17,830 - INFO - Applying perturbation for layer: maxpool, original output shape: torch.Size([32, 64, 56, 56]), perturbed activation shape: torch.Size([2112, 64, 56, 56])
2026-02-13 01:30:17,854 - INFO - Applying perturbation for layer: maxpool, original output shape: torch.Size([32, 64, 56, 56]), perturbed activation shape: torch.Size([2112, 64, 56, 56])
2026-02-13 01:30:17,878 - INFO - Applying perturbation for layer: maxpool, original output shape: torch.Size([32, 64, 56, 56]), perturbed activation shape: torch.Size([2112, 64, 56, 56])
2026-02-13 01:30:17,902 - INFO - Applying perturbation for layer: maxpool, original output shape: torch.Size([32, 64, 56, 56]), perturbed activation shape: torch.Size([2112, 64, 56, 56])
