2026-02-13 02:22:42,461 - INFO - ================================================================================
2026-02-13 02:22:42,461 - INFO - Perturbation method and options c1_coat
2026-02-13 02:22:42,461 - INFO - ================================================================================
2026-02-13 02:22:42,461 - INFO - Starting perturbation process at 20260213_022242
2026-02-13 02:22:42,461 - INFO - Model Name: resnet50
2026-02-13 02:22:42,461 - INFO - Model Path: /mnt/sdd/basics/balanced_training/resnet50/resnet50.pth
2026-02-13 02:22:42,461 - INFO - Base Image Directory: /home/balanced_dataset/train
2026-02-13 02:22:42,461 - INFO - Batch Size: 32
2026-02-13 02:22:42,465 - INFO - Collected 2112 images for analysis.
2026-02-13 02:23:10,709 - INFO - Batch processed 2112                           images into 66 batches with batch size 32.
2026-02-13 02:23:10,709 - INFO - Input image shapes: Number of batches: 66,                           Batch size: 32,                           Image tensor shape: torch.Size([32, 3, 224, 224])
2026-02-13 02:23:10,754 - INFO - Model loaded from /mnt/sdd/basics/balanced_training/resnet50/resnet50.pth and set to evaluation mode.
2026-02-13 02:23:10,754 - INFO - Custom layers to perturb set: ['maxpool', 'layer1.0.conv1', 'layer2.0.conv2', 'layer3.0.downsample.0', 'layer4.2.conv3']
2026-02-13 02:23:11,493 - INFO - Captured activation for layer: maxpool,                 activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 02:23:11,505 - INFO - Captured activation for layer: maxpool, activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 02:23:11,506 - INFO - Captured activation for layer: maxpool,                 activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 02:23:11,517 - INFO - Captured activation for layer: maxpool, activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 02:23:11,517 - INFO - Captured activation for layer: maxpool,                 activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 02:23:11,529 - INFO - Captured activation for layer: maxpool, activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 02:23:11,529 - INFO - Captured activation for layer: maxpool,                 activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 02:23:11,541 - INFO - Captured activation for layer: maxpool, activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 02:23:11,541 - INFO - Captured activation for layer: maxpool,                 activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 02:23:11,553 - INFO - Captured activation for layer: maxpool, activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 02:23:11,553 - INFO - Captured activation for layer: maxpool,                 activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 02:23:11,565 - INFO - Captured activation for layer: maxpool, activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 02:23:11,565 - INFO - Captured activation for layer: maxpool,                 activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 02:23:11,577 - INFO - Captured activation for layer: maxpool, activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 02:23:11,577 - INFO - Captured activation for layer: maxpool,                 activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 02:23:11,589 - INFO - Captured activation for layer: maxpool, activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 02:23:11,589 - INFO - Captured activation for layer: maxpool,                 activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 02:23:11,601 - INFO - Captured activation for layer: maxpool, activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 02:23:11,601 - INFO - Captured activation for layer: maxpool,                 activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 02:23:11,613 - INFO - Captured activation for layer: maxpool, activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 02:23:11,613 - INFO - Captured activation for layer: maxpool,                 activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 02:23:11,625 - INFO - Captured activation for layer: maxpool, activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 02:23:11,625 - INFO - Captured activation for layer: maxpool,                 activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 02:23:11,637 - INFO - Captured activation for layer: maxpool, activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 02:23:11,637 - INFO - Captured activation for layer: maxpool,                 activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 02:23:11,649 - INFO - Captured activation for layer: maxpool, activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 02:23:11,649 - INFO - Captured activation for layer: maxpool,                 activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 02:23:11,661 - INFO - Captured activation for layer: maxpool, activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 02:23:11,661 - INFO - Captured activation for layer: maxpool,                 activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 02:23:11,673 - INFO - Captured activation for layer: maxpool, activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 02:23:11,673 - INFO - Captured activation for layer: maxpool,                 activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 02:23:11,685 - INFO - Captured activation for layer: maxpool, activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 02:23:11,685 - INFO - Captured activation for layer: maxpool,                 activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 02:23:11,697 - INFO - Captured activation for layer: maxpool, activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 02:23:11,697 - INFO - Captured activation for layer: maxpool,                 activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 02:23:11,709 - INFO - Captured activation for layer: maxpool, activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 02:23:11,709 - INFO - Captured activation for layer: maxpool,                 activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 02:23:11,721 - INFO - Captured activation for layer: maxpool, activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 02:23:11,721 - INFO - Stacked activations shape for layer maxpool: torch.Size([2112, 64, 56, 56])
2026-02-13 02:23:11,791 - INFO - Added Gaussian noise with std: 0.001
2026-02-13 02:23:11,878 - INFO - Perturbed activation  values: tensor([0.5890, 0.5771, 0.3701,  ..., 0.3260, 0.3196, 0.4075], device='cuda:0')
2026-02-13 02:23:11,881 - INFO - Standard deviation of activations for layer maxpool: 0.2352
2026-02-13 02:23:11,881 - INFO - Checking normality of activations for layer maxpool using Shapiro-Wilk test.
2026-02-13 02:23:26,066 - INFO - Shapiro-Wilk test: statistic=0.8714, p-value=1.5288e-53
2026-02-13 02:23:26,066 - INFO - Normally distributed: False
2026-02-13 02:23:26,066 - INFO - Perturbed activation shape: torch.Size([2112, 64, 56, 56]), Std activation shape: torch.Size([1, 64, 56, 56])
2026-02-13 02:23:26,069 - INFO - Std activation sample values: tensor([0.2484, 0.2601, 0.2658, 0.2658, 0.2637], device='cuda:0')
2026-02-13 02:23:26,086 - INFO - Applying perturbation for layer: maxpool, original output shape: torch.Size([32, 64, 56, 56]), perturbed activation shape: torch.Size([2112, 64, 56, 56])
2026-02-13 02:23:26,091 - INFO - Applying perturbation for layer: maxpool, original output shape: torch.Size([32, 64, 56, 56]), perturbed activation shape: torch.Size([2112, 64, 56, 56])
2026-02-13 02:23:26,095 - INFO - Applying perturbation for layer: maxpool, original output shape: torch.Size([32, 64, 56, 56]), perturbed activation shape: torch.Size([2112, 64, 56, 56])
2026-02-13 02:23:26,106 - INFO - Applying perturbation for layer: maxpool, original output shape: torch.Size([32, 64, 56, 56]), perturbed activation shape: torch.Size([2112, 64, 56, 56])
2026-02-13 02:23:26,130 - INFO - Applying perturbation for layer: maxpool, original output shape: torch.Size([32, 64, 56, 56]), perturbed activation shape: torch.Size([2112, 64, 56, 56])
2026-02-13 02:23:26,154 - INFO - Applying perturbation for layer: maxpool, original output shape: torch.Size([32, 64, 56, 56]), perturbed activation shape: torch.Size([2112, 64, 56, 56])
