2026-02-13 02:55:12,275 - INFO - ================================================================================
2026-02-13 02:55:12,275 - INFO - Perturbation method and options c2_coat
2026-02-13 02:55:12,275 - INFO - ================================================================================
2026-02-13 02:55:12,275 - INFO - Starting perturbation process at 20260213_025512
2026-02-13 02:55:12,275 - INFO - Model Name: resnet50
2026-02-13 02:55:12,275 - INFO - Model Path: /mnt/sdd/basics/balanced_training/resnet50/resnet50.pth
2026-02-13 02:55:12,275 - INFO - Base Image Directory: /home/balanced_dataset/train
2026-02-13 02:55:12,275 - INFO - Batch Size: 32
2026-02-13 02:55:12,279 - INFO - Collected 2112 images for analysis.
2026-02-13 02:55:39,354 - INFO - Captured activation for layer: layer1.0.downsample.0,                 activation shape: torch.Size([32, 256, 56, 56])
2026-02-13 02:55:39,366 - INFO - Captured activation for layer: layer1.0.downsample.0, activation shape: torch.Size([32, 256, 56, 56])
2026-02-13 02:55:39,366 - INFO - Captured activation for layer: layer1.0.downsample.0,                 activation shape: torch.Size([32, 256, 56, 56])
2026-02-13 02:55:39,378 - INFO - Captured activation for layer: layer1.0.downsample.0, activation shape: torch.Size([32, 256, 56, 56])
2026-02-13 02:55:39,378 - INFO - Captured activation for layer: layer1.0.downsample.0,                 activation shape: torch.Size([32, 256, 56, 56])
2026-02-13 02:55:39,390 - INFO - Captured activation for layer: layer1.0.downsample.0, activation shape: torch.Size([32, 256, 56, 56])
2026-02-13 02:55:39,391 - INFO - Captured activation for layer: layer1.0.downsample.0,                 activation shape: torch.Size([32, 256, 56, 56])
2026-02-13 02:55:39,402 - INFO - Captured activation for layer: layer1.0.downsample.0, activation shape: torch.Size([32, 256, 56, 56])
2026-02-13 02:55:39,403 - INFO - Captured activation for layer: layer1.0.downsample.0,                 activation shape: torch.Size([32, 256, 56, 56])
2026-02-13 02:55:39,414 - INFO - Captured activation for layer: layer1.0.downsample.0, activation shape: torch.Size([32, 256, 56, 56])
2026-02-13 02:55:39,415 - INFO - Captured activation for layer: layer1.0.downsample.0,                 activation shape: torch.Size([32, 256, 56, 56])
