2026-02-13 01:56:41,015 - INFO - ================================================================================
2026-02-13 01:56:41,015 - INFO - Perturbation method and options c2_bg
2026-02-13 01:56:41,015 - INFO - ================================================================================
2026-02-13 01:56:41,015 - INFO - Starting perturbation process at 20260213_015641
2026-02-13 01:56:41,015 - INFO - Model Name: resnet50
2026-02-13 01:56:41,015 - INFO - Model Path: /mnt/sdd/basics/balanced_training/resnet50/resnet50.pth
2026-02-13 01:56:41,015 - INFO - Base Image Directory: /home/balanced_dataset/train
2026-02-13 01:56:41,015 - INFO - Batch Size: 32
2026-02-13 01:56:41,019 - INFO - Collected 2112 images for analysis.
2026-02-13 01:57:09,409 - INFO - Batch processed 2112                           images into 66 batches with batch size 32.
2026-02-13 01:57:09,409 - INFO - Input image shapes: Number of batches: 66,                           Batch size: 32,                           Image tensor shape: torch.Size([32, 3, 224, 224])
2026-02-13 01:57:09,460 - INFO - Model loaded from /mnt/sdd/basics/balanced_training/resnet50/resnet50.pth and set to evaluation mode.
2026-02-13 01:57:09,460 - INFO - Custom layers to perturb set: ['layer3.5.conv2', 'layer4.2.conv3']
2026-02-13 01:57:09,460 - INFO - Options class and artifact c2_bg
2026-02-13 01:57:09,460 - INFO - List of layers to pertubate ['layer3.5.conv2', 'layer4.2.conv3']
2026-02-13 01:57:09,505 - INFO - ================================================================================
2026-02-13 01:57:09,505 - INFO - Target layer found: layer3.5.conv2
2026-02-13 01:57:10,039 - INFO - Captured activation for layer: layer3.5.conv2, activation shape: torch.Size([32, 256, 14, 14])
2026-02-13 01:57:10,044 - INFO - Captured activation for layer: layer3.5.conv2,                 activation shape: torch.Size([32, 256, 14, 14])
2026-02-13 01:57:10,051 - INFO - Captured activation for layer: layer3.5.conv2, activation shape: torch.Size([32, 256, 14, 14])
2026-02-13 01:57:10,057 - INFO - Captured activation for layer: layer3.5.conv2,                 activation shape: torch.Size([32, 256, 14, 14])
2026-02-13 01:57:10,063 - INFO - Captured activation for layer: layer3.5.conv2, activation shape: torch.Size([32, 256, 14, 14])
2026-02-13 01:57:10,069 - INFO - Captured activation for layer: layer3.5.conv2,                 activation shape: torch.Size([32, 256, 14, 14])
2026-02-13 01:57:10,075 - INFO - Captured activation for layer: layer3.5.conv2, activation shape: torch.Size([32, 256, 14, 14])
2026-02-13 01:57:10,081 - INFO - Captured activation for layer: layer3.5.conv2,                 activation shape: torch.Size([32, 256, 14, 14])
2026-02-13 01:57:10,087 - INFO - Captured activation for layer: layer3.5.conv2, activation shape: torch.Size([32, 256, 14, 14])
2026-02-13 01:57:10,092 - INFO - Captured activation for layer: layer3.5.conv2,                 activation shape: torch.Size([32, 256, 14, 14])
2026-02-13 01:57:10,099 - INFO - Captured activation for layer: layer3.5.conv2, activation shape: torch.Size([32, 256, 14, 14])
2026-02-13 01:57:10,104 - INFO - Captured activation for layer: layer3.5.conv2,                 activation shape: torch.Size([32, 256, 14, 14])
2026-02-13 01:57:10,111 - INFO - Captured activation for layer: layer3.5.conv2, activation shape: torch.Size([32, 256, 14, 14])
2026-02-13 01:57:10,116 - INFO - Captured activation for layer: layer3.5.conv2,                 activation shape: torch.Size([32, 256, 14, 14])
2026-02-13 01:57:10,123 - INFO - Captured activation for layer: layer3.5.conv2, activation shape: torch.Size([32, 256, 14, 14])
2026-02-13 01:57:10,128 - INFO - Captured activation for layer: layer3.5.conv2,                 activation shape: torch.Size([32, 256, 14, 14])
2026-02-13 01:57:10,135 - INFO - Captured activation for layer: layer3.5.conv2, activation shape: torch.Size([32, 256, 14, 14])
2026-02-13 01:57:10,141 - INFO - Captured activation for layer: layer3.5.conv2,                 activation shape: torch.Size([32, 256, 14, 14])
2026-02-13 01:57:10,147 - INFO - Captured activation for layer: layer3.5.conv2, activation shape: torch.Size([32, 256, 14, 14])
2026-02-13 01:57:10,153 - INFO - Captured activation for layer: layer3.5.conv2,                 activation shape: torch.Size([32, 256, 14, 14])
2026-02-13 01:57:10,159 - INFO - Captured activation for layer: layer3.5.conv2, activation shape: torch.Size([32, 256, 14, 14])
2026-02-13 01:57:10,165 - INFO - Captured activation for layer: layer3.5.conv2,                 activation shape: torch.Size([32, 256, 14, 14])
2026-02-13 01:57:10,171 - INFO - Captured activation for layer: layer3.5.conv2, activation shape: torch.Size([32, 256, 14, 14])
2026-02-13 01:57:10,177 - INFO - Captured activation for layer: layer3.5.conv2,                 activation shape: torch.Size([32, 256, 14, 14])
2026-02-13 01:57:10,183 - INFO - Captured activation for layer: layer3.5.conv2, activation shape: torch.Size([32, 256, 14, 14])
2026-02-13 01:57:10,189 - INFO - Captured activation for layer: layer3.5.conv2,                 activation shape: torch.Size([32, 256, 14, 14])
2026-02-13 01:57:10,195 - INFO - Captured activation for layer: layer3.5.conv2, activation shape: torch.Size([32, 256, 14, 14])
2026-02-13 01:57:10,201 - INFO - Captured activation for layer: layer3.5.conv2,                 activation shape: torch.Size([32, 256, 14, 14])
2026-02-13 01:57:10,207 - INFO - Captured activation for layer: layer3.5.conv2, activation shape: torch.Size([32, 256, 14, 14])
2026-02-13 01:57:10,213 - INFO - Captured activation for layer: layer3.5.conv2,                 activation shape: torch.Size([32, 256, 14, 14])
2026-02-13 01:57:10,219 - INFO - Captured activation for layer: layer3.5.conv2, activation shape: torch.Size([32, 256, 14, 14])
2026-02-13 01:57:10,225 - INFO - Captured activation for layer: layer3.5.conv2,                 activation shape: torch.Size([32, 256, 14, 14])
2026-02-13 01:57:10,231 - INFO - Captured activation for layer: layer3.5.conv2, activation shape: torch.Size([32, 256, 14, 14])
2026-02-13 01:57:10,237 - INFO - Captured activation for layer: layer3.5.conv2,                 activation shape: torch.Size([32, 256, 14, 14])
2026-02-13 01:57:10,243 - INFO - Captured activation for layer: layer3.5.conv2, activation shape: torch.Size([32, 256, 14, 14])
2026-02-13 01:57:10,249 - INFO - Captured activation for layer: layer3.5.conv2,                 activation shape: torch.Size([32, 256, 14, 14])
2026-02-13 01:57:10,255 - INFO - Captured activation for layer: layer3.5.conv2, activation shape: torch.Size([32, 256, 14, 14])
2026-02-13 01:57:10,261 - INFO - Captured activation for layer: layer3.5.conv2,                 activation shape: torch.Size([32, 256, 14, 14])
2026-02-13 01:57:10,267 - INFO - Captured activation for layer: layer3.5.conv2, activation shape: torch.Size([32, 256, 14, 14])
2026-02-13 01:57:10,273 - INFO - Captured activation for layer: layer3.5.conv2,                 activation shape: torch.Size([32, 256, 14, 14])
2026-02-13 01:57:10,279 - INFO - Captured activation for layer: layer3.5.conv2, activation shape: torch.Size([32, 256, 14, 14])
2026-02-13 01:57:10,285 - INFO - Captured activation for layer: layer3.5.conv2,                 activation shape: torch.Size([32, 256, 14, 14])
2026-02-13 01:57:10,291 - INFO - Captured activation for layer: layer3.5.conv2, activation shape: torch.Size([32, 256, 14, 14])
2026-02-13 01:57:10,297 - INFO - Captured activation for layer: layer3.5.conv2,                 activation shape: torch.Size([32, 256, 14, 14])
2026-02-13 01:57:10,303 - INFO - Captured activation for layer: layer3.5.conv2, activation shape: torch.Size([32, 256, 14, 14])
2026-02-13 01:57:10,309 - INFO - Captured activation for layer: layer3.5.conv2,                 activation shape: torch.Size([32, 256, 14, 14])
2026-02-13 01:57:10,315 - INFO - Captured activation for layer: layer3.5.conv2, activation shape: torch.Size([32, 256, 14, 14])
2026-02-13 01:57:10,321 - INFO - Captured activation for layer: layer3.5.conv2,                 activation shape: torch.Size([32, 256, 14, 14])
2026-02-13 01:57:10,327 - INFO - Captured activation for layer: layer3.5.conv2, activation shape: torch.Size([32, 256, 14, 14])
2026-02-13 01:57:10,333 - INFO - Captured activation for layer: layer3.5.conv2,                 activation shape: torch.Size([32, 256, 14, 14])
2026-02-13 01:57:10,339 - INFO - Captured activation for layer: layer3.5.conv2, activation shape: torch.Size([32, 256, 14, 14])
2026-02-13 01:57:10,345 - INFO - Captured activation for layer: layer3.5.conv2,                 activation shape: torch.Size([32, 256, 14, 14])
2026-02-13 01:57:10,351 - INFO - Captured activation for layer: layer3.5.conv2, activation shape: torch.Size([32, 256, 14, 14])
2026-02-13 01:57:10,357 - INFO - Captured activation for layer: layer3.5.conv2,                 activation shape: torch.Size([32, 256, 14, 14])
2026-02-13 01:57:10,363 - INFO - Captured activation for layer: layer3.5.conv2, activation shape: torch.Size([32, 256, 14, 14])
2026-02-13 01:57:10,369 - INFO - Captured activation for layer: layer3.5.conv2,                 activation shape: torch.Size([32, 256, 14, 14])
2026-02-13 01:57:10,375 - INFO - Captured activation for layer: layer3.5.conv2, activation shape: torch.Size([32, 256, 14, 14])
