Full filepath,Full Class Index,sensitivityscore_before_features.7,sensitivityscore_before_features.19,sensitivityscore_before_features.20,sensitivityscore_before_features.21,sensitivityscore_before_features.22,sensitivityscore_before_features.23,sensitivityscore_before_features.24,sensitivityscore_before_features.25,sensitivityscore_before_features.26,sensitivityscore_before_features.27,sensitivityscore_before_features.28
/mnt/sdd/caltech_training/multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0053_796109.jpg,0,-0.0053111054,0.010262089,0.020442778,0.0051489524,0.009030562,0.013237487,0.019109499,0.011959191,0.047490537,0.04609809,0.027260084
/mnt/sdd/caltech_training/multiclass/train/002.Laysan_Albatross/Laysan_Albatross_0061_563.jpg,1,0.0058914227,0.028763233,0.03349533,0.021370115,0.016350145,0.04634094,0.045326516,0.050989226,0.1029998,0.093941495,0.04409131
/mnt/sdd/caltech_training/multiclass/train/002.Laysan_Albatross/Laysan_Albatross_0017_614.jpg,1,0.0054543596,0.014347632,0.0194692,0.012825123,0.008885793,0.045110717,0.039197493,0.03550301,0.06932172,0.06405639,0.04224424
/mnt/sdd/caltech_training/multiclass/train/002.Laysan_Albatross/Laysan_Albatross_0035_876.jpg,1,0.0018663794,0.018932022,0.009899826,0.006410177,0.010041834,0.018886697,0.001410876,0.00088097353,0.07557178,0.05830521,0.024391152
/mnt/sdd/caltech_training/multiclass/train/002.Laysan_Albatross/Laysan_Albatross_0040_472.jpg,1,0.0047311597,0.013877799,0.010908553,0.013844568,0.010801898,0.02479149,0.028253308,0.037534676,0.07799335,0.088392176,0.03895392
/mnt/sdd/caltech_training/multiclass/train/002.Laysan_Albatross/Laysan_Albatross_0073_927.jpg,1,0.003372471,0.0037548947,0.0121163055,0.007298773,3.485242e-06,0.03667333,0.007628723,0.00015176646,0.07136525,0.06351316,0.03841667
/mnt/sdd/caltech_training/multiclass/train/002.Laysan_Albatross/Laysan_Albatross_0076_671.jpg,1,0.0027533649,0.006946097,0.007286601,0.008188529,0.008130084,0.019156983,0.029472874,0.023361217,0.068238884,0.062613815,0.035422184
/mnt/sdd/caltech_training/multiclass/train/002.Laysan_Albatross/Laysan_Albatross_0002_1027.jpg,1,-0.0005879953,0.011447326,0.024460843,0.012972804,0.016799146,0.04158933,0.027589243,0.019587353,0.0722267,0.070042424,0.04058148
/mnt/sdd/caltech_training/multiclass/train/002.Laysan_Albatross/Laysan_Albatross_0012_696.jpg,1,0.0050057354,0.029571064,0.029774535,0.014013543,0.011757048,0.0521011,0.031404637,0.03331849,0.10179779,0.08122232,0.04326959
/mnt/sdd/caltech_training/multiclass/train/002.Laysan_Albatross/Laysan_Albatross_0005_565.jpg,1,0.0012499406,0.014062405,0.026926517,0.006498065,0.013949827,0.027205803,0.0437796,0.046207406,0.06425986,0.06185782,0.033267643
/mnt/sdd/caltech_training/multiclass/train/002.Laysan_Albatross/Laysan_Albatross_0042_801.jpg,1,0.008150109,0.01822355,0.024646787,0.013351008,0.013752898,0.035857975,0.033431023,0.019270372,0.07234512,0.052328467,0.040300556
/mnt/sdd/caltech_training/multiclass/train/002.Laysan_Albatross/Laysan_Albatross_0096_673.jpg,1,0.004842087,0.006597396,0.009198679,0.009893677,0.016788615,0.021579728,0.027655821,0.031075228,0.02386501,0.038290318,0.040966384
/mnt/sdd/caltech_training/multiclass/train/002.Laysan_Albatross/Laysan_Albatross_0081_800.jpg,1,0.006837031,0.011323076,0.018009774,0.012976825,0.0073730494,0.011678651,0.021636663,0.019821398,0.07036416,0.055858035,0.043569703
/mnt/sdd/caltech_training/multiclass/train/002.Laysan_Albatross/Laysan_Albatross_0058_637.jpg,1,0.004542448,0.01891248,0.023916101,0.012191222,0.009720821,0.02591764,0.03432205,0.036942746,0.05609764,0.06661488,0.042447396
/mnt/sdd/caltech_training/multiclass/train/002.Laysan_Albatross/Laysan_Albatross_0037_699.jpg,1,0.0064148866,0.018904507,0.035136215,0.020791354,0.016627345,0.031428967,0.033554606,0.025331464,0.0746626,0.06962963,0.041158162
/mnt/sdd/caltech_training/multiclass/train/002.Laysan_Albatross/Laysan_Albatross_0003_1033.jpg,1,-0.00020115363,0.009502875,0.017021265,0.00370174,0.0035448554,0.009622629,0.025403515,0.035434455,0.044738345,0.03184033,0.026233964
/mnt/sdd/caltech_training/multiclass/train/002.Laysan_Albatross/Laysan_Albatross_0051_1020.jpg,1,0.00037789438,0.011154744,0.012890823,0.0028796403,0.00056826463,-0.006589146,0.0055669323,0.0053832885,0.05694341,0.056840885,0.038651526
/mnt/sdd/caltech_training/multiclass/train/002.Laysan_Albatross/Laysan_Albatross_0028_643.jpg,1,0.002034421,0.0073052864,0.018971521,0.0077521484,0.013937951,0.011024665,0.025851341,0.0267354,0.040999807,0.04088062,0.04145338
/mnt/sdd/caltech_training/multiclass/train/002.Laysan_Albatross/Laysan_Albatross_0053_543.jpg,1,0.0037739826,0.015818514,0.013225015,0.011477879,0.010612263,0.023269262,0.025907911,0.02547082,0.07906022,0.06685087,0.04485626
/mnt/sdd/caltech_training/multiclass/train/002.Laysan_Albatross/Laysan_Albatross_0060_777.jpg,1,0.0028412738,-0.004059176,0.01011491,0.0032621534,0.004955085,0.005129558,0.026961708,0.03608838,0.052298766,0.028249118,0.023712939
/mnt/sdd/caltech_training/multiclass/train/002.Laysan_Albatross/Laysan_Albatross_0033_658.jpg,1,0.0020831246,0.020128295,0.018602125,0.012083554,0.008957915,0.016757714,0.03507889,0.028227862,0.054686625,0.042553246,0.040270016
/mnt/sdd/caltech_training/multiclass/train/002.Laysan_Albatross/Laysan_Albatross_0059_488.jpg,1,0.003380377,0.024055382,0.029291742,0.011677387,0.009347241,0.027713927,0.045850202,0.03958258,0.07776362,0.07881977,0.04115171
/mnt/sdd/caltech_training/multiclass/train/002.Laysan_Albatross/Laysan_Albatross_0079_506.jpg,1,-0.00048148632,0.011456453,0.015104357,0.0075904015,0.0036542083,0.0034109522,0.03805004,0.024464566,0.047694057,0.046622265,0.038440898
/mnt/sdd/caltech_training/multiclass/train/002.Laysan_Albatross/Laysan_Albatross_0093_725.jpg,1,0.001313874,0.02007757,0.022752237,0.015552077,0.009184237,0.026462205,0.022770047,0.040067345,0.079654835,0.08752383,0.0370583
/mnt/sdd/caltech_training/multiclass/train/002.Laysan_Albatross/Laysan_Albatross_0100_735.jpg,1,0.004306517,0.014908633,0.02838083,0.009769944,0.009056734,0.020287018,0.031821895,0.04343658,0.0672888,0.059516773,0.03758963
/mnt/sdd/caltech_training/multiclass/train/002.Laysan_Albatross/Laysan_Albatross_0103_504.jpg,1,0.0066644684,0.009831638,0.012731386,-0.0016561291,0.0037576687,-0.008700988,0.02503288,0.024765136,0.044972707,0.0306905,0.032742463
/mnt/sdd/caltech_training/multiclass/train/002.Laysan_Albatross/Laysan_Albatross_0102_611.jpg,1,7.464446e-05,0.012076224,0.01346485,0.018807225,0.020532466,0.051455867,0.024248537,0.030362258,0.08361768,0.06166737,0.046644785
