Full filepath,Full Class Index,sensitivityscore_before_features.11.block.2.fc1,sensitivityscore_before_features.11.block.2.fc2,sensitivityscore_before_features.12.block.2.fc1,sensitivityscore_before_features.12.block.2.fc2,sensitivityscore_before_features.13.block.2.fc1,sensitivityscore_before_features.13.block.2.fc2,sensitivityscore_before_features.14.block.2.fc1,sensitivityscore_before_features.14.block.2.fc2,sensitivityscore_before_features.15.block.2.fc1,sensitivityscore_before_features.15.block.2.fc2,sensitivityscore_before_features.16.0
/mnt/sdd/caltech_training/multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0037_796120.jpg,0,-0.16141072,-0.030846203,-0.12250109,-0.064267345,0.07130672,-0.009944892,-0.072265506,-0.014720134,-0.023461279,0.065183535,0.004307755
/mnt/sdd/caltech_training/multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0002_55.jpg,0,-0.07986307,0.07971331,-0.22751564,-0.037023447,-0.06260718,-0.032030195,0.022692474,-0.046735097,-0.09097663,0.0053382358,0.017663512
/mnt/sdd/caltech_training/multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0025_796057.jpg,0,0.032886565,-0.06372044,-0.03960693,0.026439404,0.13012028,0.008148133,-0.04027146,-0.0158488,-0.00711691,-0.00039970595,0.012508543
/mnt/sdd/caltech_training/multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0008_796083.jpg,0,-0.24519369,-0.082940295,-0.10453981,-0.042253897,0.10306835,0.024298579,0.038885035,0.024577469,-0.005878236,-0.00037272647,0.0076662134
/mnt/sdd/caltech_training/multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0078_796126.jpg,0,-0.26649845,-0.0929901,0.28482836,0.07199629,-0.12232373,0.0029969793,0.07007928,-0.017573973,0.015184257,0.019270957,0.013174004
/mnt/sdd/caltech_training/multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0039_796132.jpg,0,-0.12709789,-0.011946684,-0.0076840147,-0.012413878,-0.07022992,0.014354179,-0.048349142,-0.014113732,-0.10490583,0.027593266,0.014605851
/mnt/sdd/caltech_training/multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0006_796065.jpg,0,0.006771695,-0.10183269,-0.0948258,0.014422823,-0.043074984,0.0013779495,0.07154989,0.048277535,0.013730438,0.060075283,0.006306157
/mnt/sdd/caltech_training/multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0032_796115.jpg,0,-0.16790481,-0.057018973,-0.15041947,-0.050647404,0.009249575,0.032463808,0.06687762,0.02585157,0.09345797,0.05409327,0.0012395624
/mnt/sdd/caltech_training/multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0071_796113.jpg,0,0.06404428,0.004102934,0.10509797,-0.0076657124,0.110738486,0.009374268,0.0072342977,-0.00060967915,0.014656007,0.07590109,0.0020855628
/mnt/sdd/caltech_training/multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0051_796103.jpg,0,0.08905418,-0.009233316,-0.222821,-0.05730507,0.12106244,-0.042745486,0.10136788,0.013758251,-0.052768096,-0.007951226,0.040978253
/mnt/sdd/caltech_training/multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0016_796067.jpg,0,0.15166514,0.029721064,0.032373376,-0.09698371,0.038545486,0.01577165,-0.018351141,0.04651424,-3.2227486e-05,0.023901839,0.022719162
/mnt/sdd/caltech_training/multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0088_796133.jpg,0,-0.112289675,-0.030312927,0.18831003,0.026703253,-0.047456026,-0.012374675,-0.009396113,-0.025878098,-0.0005887998,0.021841317,-0.007219757
/mnt/sdd/caltech_training/multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0053_796109.jpg,0,0.13369963,0.018437317,0.23398593,0.088388264,0.079270355,0.008381186,-0.056646243,0.038152665,0.16838758,0.03776733,0.003823502
/mnt/sdd/caltech_training/multiclass/train/002.Laysan_Albatross/Laysan_Albatross_0061_563.jpg,1,-0.1626443,-0.013166048,0.021633126,0.022376636,0.030130988,-0.026152179,0.061095156,0.026883159,-0.115268335,-0.023114871,-0.0032268777
/mnt/sdd/caltech_training/multiclass/train/002.Laysan_Albatross/Laysan_Albatross_0017_614.jpg,1,-0.19951715,-0.05886107,-0.06527892,0.05981014,-0.14743078,-0.05688949,-0.09789353,-0.018494748,-0.010044748,0.040755898,0.004519917
/mnt/sdd/caltech_training/multiclass/train/002.Laysan_Albatross/Laysan_Albatross_0035_876.jpg,1,-0.13980107,-0.051549,0.060741793,-0.03257472,0.012816753,0.0082331775,-0.029044006,0.009854308,0.026463881,0.03256389,-0.005916276
/mnt/sdd/caltech_training/multiclass/train/002.Laysan_Albatross/Laysan_Albatross_0040_472.jpg,1,-0.08510192,0.0115292575,-0.14928359,-0.101026826,0.012181731,-0.03435761,-0.04655227,0.009116221,-0.06339404,-0.0071107177,-0.01206453
/mnt/sdd/caltech_training/multiclass/train/002.Laysan_Albatross/Laysan_Albatross_0073_927.jpg,1,0.19991125,0.12245998,0.014845364,-0.07975379,-0.17025346,-0.027501296,-0.046690278,-0.04110314,-0.08969438,0.011004705,-0.008191039
/mnt/sdd/caltech_training/multiclass/train/002.Laysan_Albatross/Laysan_Albatross_0076_671.jpg,1,-0.03635999,-0.10400377,-0.06406346,-0.05272742,-0.05910241,-0.0043138047,-0.028353224,0.0060688145,-0.092267364,-0.03578872,-0.011433227
/mnt/sdd/caltech_training/multiclass/train/002.Laysan_Albatross/Laysan_Albatross_0002_1027.jpg,1,-0.23263828,-0.09096062,-0.07191941,-0.02937498,-0.013144877,-0.035624254,0.08486934,0.015768833,-0.065235525,-0.022819392,-0.0040760757
/mnt/sdd/caltech_training/multiclass/train/002.Laysan_Albatross/Laysan_Albatross_0012_696.jpg,1,-0.19453186,-0.043300547,-0.04675532,-0.041030586,-0.046336573,-0.072478905,-0.0029320046,-0.041595444,-0.08101957,-0.039254457,-0.025076155
/mnt/sdd/caltech_training/multiclass/train/002.Laysan_Albatross/Laysan_Albatross_0005_565.jpg,1,0.2763383,0.13885507,0.09859783,0.04728827,0.10001983,0.026177064,0.04455574,0.044439185,0.11596172,0.04184465,0.025084697
/mnt/sdd/caltech_training/multiclass/train/002.Laysan_Albatross/Laysan_Albatross_0042_801.jpg,1,-0.0076837465,-0.03327972,0.18667068,0.02966152,-0.054018773,0.07762114,0.14058447,0.07660589,0.018281596,0.024349222,0.0097280685
/mnt/sdd/caltech_training/multiclass/train/002.Laysan_Albatross/Laysan_Albatross_0096_673.jpg,1,0.045166995,0.006605489,0.019033484,-0.070273004,-0.042580374,-0.03448489,0.036180466,0.02931955,-0.10611747,-0.039571773,-0.01704518
/mnt/sdd/caltech_training/multiclass/train/002.Laysan_Albatross/Laysan_Albatross_0081_800.jpg,1,-0.068481304,-0.08720894,0.06514205,0.04411439,-0.16768414,-0.04270385,0.057946518,0.03583037,-0.006278511,-0.019154951,-0.0013421583
/mnt/sdd/caltech_training/multiclass/train/002.Laysan_Albatross/Laysan_Albatross_0058_637.jpg,1,0.075310685,0.01265768,-0.052783467,0.019269504,0.15443552,0.07996917,0.06847359,0.04507971,-0.013082767,0.022446245,-0.0091762515
/mnt/sdd/caltech_training/multiclass/train/002.Laysan_Albatross/Laysan_Albatross_0037_699.jpg,1,-0.055026982,0.00023792405,0.057242263,0.025618112,-0.22923337,-0.05287356,0.037185587,0.04057665,0.03743232,0.04001721,-0.00575188
