Full filepath,Full Class Index,sensitivityscore_before_features.19,sensitivityscore_After_features.19_0.5,sensitivityscore_After_features.19_0.6,sensitivityscore_After_features.19_0.7,sensitivityscore_After_features.19_0.8,sensitivityscore_before_features.20,sensitivityscore_before_features.22,sensitivityscore_before_features.23,sensitivityscore_before_features.24,sensitivityscore_After_features.24_0.5,sensitivityscore_After_features.24_0.6,sensitivityscore_After_features.24_0.7,sensitivityscore_After_features.24_0.8
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0026_796095.jpg,0,0.016462406,-0.008294888,-0.008404226,0.007682601,0.008099265,0.017499872,-0.000607314,0.024940565,0.01854609,0.022040676,0.06447441,0.07150168,0.039056055
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0032_796115.jpg,0,-0.01285016,0.017524026,0.001901175,0.015077145,0.016196715,-0.00090492,0.000117859,0.0009892,-0.008911588,0.06921952,0.093201324,0.11253108,0.054026634
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0053_796109.jpg,0,0.00772269,0.008967425,0.020453855,0.013587445,0.007034545,0.010985003,-0.001599218,-0.003993691,-0.003588431,0.028685313,0.07633191,0.068519235,0.013236295
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0035_796140.jpg,0,0.006229463,0.02184223,0.015620751,0.007954727,0.002311105,0.000880381,-0.002155391,0.014322903,0.000620746,0.053555623,0.050415777,0.04649379,0.05683451
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0061_796082.jpg,0,0.004120013,-0.005644988,-0.016076887,-0.005511432,-0.000382679,-0.000255922,-0.000384376,-0.013856638,0.013971116,0.043379266,0.039293215,0.0542263,0.005229619
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0023_796059.jpg,0,0.001721572,0.001005678,0.008769739,0.003963903,-0.013216293,-0.001119944,-0.009048194,-0.016109657,0.009226617,0.05880601,0.06393279,0.03858068,-0.00716509
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0033_796086.jpg,0,-0.000753319,0.014190555,0.006010712,0.013108125,0.000404301,0.006425843,0.006748342,0.013979463,0.025421275,0.060427323,0.055234827,0.069431424,0.04084146
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0042_796071.jpg,0,0.001841844,0.017184883,0.000281414,0.013298854,-7.77E-05,0.007637171,-0.003799014,-0.000990455,0.02063777,0.059476223,0.045578875,0.08202697,0.056017686
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0036_796127.jpg,0,-0.001738882,-0.002759305,-0.001192041,0.009712478,-0.006760295,-0.008946458,-0.00111272,0.000316755,-0.018530048,0.041141324,0.04851435,0.06843632,0.006760872
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0078_796126.jpg,0,0.002929664,-0.004784834,-0.020417415,-0.009288584,-0.010254723,-0.004563648,0.008052929,0.019460397,-0.006339771,0.020730618,0.038523488,0.046023436,0.016403457
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0003_796136.jpg,0,-0.002455196,-0.004052398,-0.002791843,-0.004436168,0.014440056,-0.001217556,-0.006571619,0.00257076,0.010948315,0.048582558,0.044308838,0.06978718,0.008790309
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0063_796141.jpg,0,0.00295909,0.02073607,0.013661591,0.013769836,0.015118847,0.012193147,-0.004129145,-0.01246424,0.021622576,0.067702815,0.0444424,0.05886893,0.058810852
/mnt/sdd/caltech_training/three_classes/train/002.Laysan_Albatross/Laysan_Albatross_0091_602.jpg,1,0.012554753,-0.000294515,-0.01633593,-0.017095909,-0.001982805,0.001017977,0.000406342,-0.010283425,0.002273758,0.004292912,-0.01196021,-0.009636133,-0.000719413
/mnt/sdd/caltech_training/three_classes/train/002.Laysan_Albatross/Laysan_Albatross_0017_614.jpg,1,0.004865642,0.004750356,0.004127426,0.006025078,-0.00345915,0.012413932,0.011367131,0.023656111,0.039146233,0.012510161,0.032247152,0.002841644,0.011116857
/mnt/sdd/caltech_training/three_classes/train/002.Laysan_Albatross/Laysan_Albatross_0059_488.jpg,1,-0.00225813,0.006615929,0.002963844,-0.010276418,-0.008631673,-0.004882427,-0.001665338,-0.003908168,-0.021446254,-0.029105758,-0.01834685,-0.01466925,-0.015017388
/mnt/sdd/caltech_training/three_classes/train/002.Laysan_Albatross/Laysan_Albatross_0085_564.jpg,1,-0.003614483,-0.00130881,-0.00542926,0.002635604,-0.004546679,-0.011049089,-0.006344033,-0.004549945,0.018024333,0.008016236,-0.006275386,-0.000796685,-0.017343923
/mnt/sdd/caltech_training/three_classes/train/002.Laysan_Albatross/Laysan_Albatross_0076_671.jpg,1,0.009679381,-0.010065312,-0.009009943,-0.016485957,-0.008650515,0.005506753,-0.001896247,0.009464358,0.010479493,-0.014609522,-0.007334035,-0.008760826,-0.02162034
/mnt/sdd/caltech_training/three_classes/train/002.Laysan_Albatross/Laysan_Albatross_0040_472.jpg,1,-0.008086702,0.014538832,0.012607304,0.009612178,0.014981304,-0.009586237,0.001995666,0.004545912,0.00860947,0.007380243,-0.011647597,-0.019254943,0.014021028
