Full filepath,Full Class Index,sensitivityscore_before_layer1.0.conv1,sensitivityscore_before_layer1.0.conv2,sensitivityscore_before_layer1.0.conv3,sensitivityscore_before_layer4.0.conv1,sensitivityscore_before_layer4.0.conv2,sensitivityscore_before_layer4.0.conv3,sensitivityscore_before_layer4.1.conv1,sensitivityscore_before_layer4.1.conv2,sensitivityscore_before_layer4.1.conv3,sensitivityscore_before_layer4.2.conv1,sensitivityscore_before_layer4.2.conv2,sensitivityscore_before_layer4.2.conv3,sensitivityscore_After_layer4.2.conv3_0.5,sensitivityscore_After_layer4.2.conv3_0.6,sensitivityscore_After_layer4.2.conv3_0.7,sensitivityscore_After_layer4.2.conv3_0.8
/mnt/sdd/caltech_training/three_classes/train/002.Laysan_Albatross/Laysan_Albatross_0042_801.jpg,1,-0.007863637,-0.0038224186,-0.00013359374,-0.0072021005,-0.013020466,-0.006652873,-0.013204267,-0.015810147,0.015719084,-0.016707951,-0.0015436271,0.011993072,-0.0778278,-0.055014163,-0.03675551,-0.016137252
/mnt/sdd/caltech_training/three_classes/train/002.Laysan_Albatross/Laysan_Albatross_0033_658.jpg,1,-0.00013167068,-0.0031233449,-0.00035021838,0.0076764477,0.000811832,0.0022528705,-0.010654796,-0.002231833,0.017351441,0.0033638547,0.0054654772,0.020455165,-0.06628681,-0.048617247,-0.031750437,-0.011077173
/mnt/sdd/caltech_training/three_classes/train/002.Laysan_Albatross/Laysan_Albatross_0012_696.jpg,1,-0.005145597,0.0041736285,0.0006189358,0.00024426752,-0.00041635393,-0.0010624886,0.0096309185,-0.0084098885,0.022663249,0.014838012,0.01982113,0.017582288,-0.07476214,-0.05068482,-0.03303535,-0.010944901
/mnt/sdd/caltech_training/three_classes/train/002.Laysan_Albatross/Laysan_Albatross_0028_643.jpg,1,-0.0051432387,0.0012083905,-0.0043311543,-0.0021361017,0.0025502453,-0.003029813,0.00070303073,0.012114356,0.015610596,-0.014849167,0.0038332231,0.019590832,-0.07407707,-0.04846127,-0.033790387,-0.014113802
/mnt/sdd/caltech_training/three_classes/train/002.Laysan_Albatross/Laysan_Albatross_0099_869.jpg,1,-0.008777009,0.0023789345,0.0021346307,2.484594e-05,-0.0061261915,0.008676912,0.0006521791,-0.010483138,0.0038645845,-0.0016385745,-0.013330776,0.017195856,-0.07812077,-0.051454663,-0.032924235,-0.0150987245
/mnt/sdd/caltech_training/three_classes/train/002.Laysan_Albatross/Laysan_Albatross_0056_500.jpg,1,0.0030670376,0.0017364866,0.003785489,0.0055666543,-0.00039498927,0.010376216,0.007854606,0.003567432,0.010572182,0.014502758,0.00068098586,0.020254442,-0.07446142,-0.05161295,-0.034225747,-0.0134264855
/mnt/sdd/caltech_training/three_classes/train/002.Laysan_Albatross/Laysan_Albatross_0025_571.jpg,1,0.0056914743,0.0049629863,0.00051841146,-0.00018963777,0.00029631937,-0.0012590183,0.0057426924,0.022473864,0.018845424,-0.028805768,-0.018009584,0.018161684,-0.07343931,-0.048195045,-0.03160685,-0.012393569
/mnt/sdd/caltech_training/three_classes/train/002.Laysan_Albatross/Laysan_Albatross_0070_788.jpg,1,0.024511209,0.016764753,0.004601772,0.0036005029,-0.0060630757,0.0025094585,-0.0025783614,-0.009606691,0.012489545,-0.0007435754,0.0012901397,0.01621011,-0.07294066,-0.047809806,-0.032901406,-0.015586853
/mnt/sdd/caltech_training/three_classes/train/002.Laysan_Albatross/Laysan_Albatross_0100_735.jpg,1,-0.0035769893,-0.0044970876,-0.0005738094,0.009319068,0.02643897,0.012171281,0.009147074,-0.000106696505,0.010696192,-0.0045909565,-0.014035426,0.024068866,-0.081045926,-0.051278543,-0.03372849,-0.014652163
/mnt/sdd/caltech_training/three_classes/train/002.Laysan_Albatross/Laysan_Albatross_0013_910.jpg,1,-0.00415036,-0.0047150403,-0.00085782364,-0.0063630003,-0.01045405,0.001984639,-0.008477772,-0.010319071,0.009115981,-0.012496561,0.00019438379,0.01833906,-0.07450301,-0.052788332,-0.036056895,-0.01332017
